"yr";"tr"
0;0,225
500;-0,38
1000;-0,08
1500;0,145
2000;0,165
2500;0,235
3000;0,18
3500;0,2
4000;0,47
4500;0,625
5000;0,595
5500;0,71
6000;0,795
6500;0,875
7000;1,14
7500;0,995
8000;0,95
8500;0,84
9000;0,885
9500;1,035
10000;0,855
10500;0,525
11000;0,14
11500;-0,352083333333333
12000;-1,01208333333333
12500;-1,38208333333333
13000;-1,17208333333333
13500;-0,852083333333333
14000;-1,00208333333333
14500;-1,38208333333333
15000;-2,12208333333333
15500;-2,29208333333333
16000;-2,49208333333333
16500;-2,68208333333333
17000;-2,79208333333333
17500;-2,84208333333333
18000;-2,76208333333333
